Context,Question,Answer,filename
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Apa inti peran TNI menurut Pasal 5?,Pasal 5 menegaskan bahwa peran TNI adalah sebagai alat negara di bidang pertahanan.,uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Apa yang dimaksud dengan 'alat negara di bidang pertahanan' dalam Pasal 5?,Istilah tersebut berarti TNI merupakan instrumen resmi negara untuk melindungi dan mempertahankan kedaulatan serta keamanan nasional.,uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Mengapa TNI harus menjalankan tugas berdasarkan kebijakan politik negara?,"Agar tindakan TNI selaras dengan arah dan keputusan pemerintah yang dipilih secara demokratis, menjamin supremasi sipil.",uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Siapa yang menetapkan kebijakan politik negara terkait pertahanan?,Kebijakan politik negara ditetapkan oleh Presiden bersama DPR serta kementerian terkait.,uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Bagaimana Pasal 5 menegaskan hubungan TNI dengan pemerintah sipil?,Pasal 5 menunjukkan bahwa TNI tunduk pada kebijakan dan keputusan politik negara yang dirumuskan otoritas sipil.,uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Apa yang dimaksud dengan 'keputusan politik negara' dalam Pasal 5?,"Keputusan politik negara adalah keputusan lembaga negara yang berwenang, seperti Presiden dan DPR, mengenai arah pertahanan.",uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Apakah Pasal 5 memberi kebebasan TNI menentukan kebijakan pertahanannya sendiri?,"Tidak, Pasal 5 menegaskan bahwa TNI harus berlandaskan kebijakan dan keputusan politik negara, bukan kebijakan internal sendiri.",uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Bagaimana Pasal 5 mencerminkan prinsip supremasi sipil atas militer?,"Dengan mewajibkan TNI mengikuti kebijakan politik negara, Pasal 5 memastikan kontrol sipil atas angkatan bersenjata.",uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Mengapa penting TNI mengikuti keputusan politik negara saat bertugas?,Hal ini menjaga legitimasi demokratis dan memastikan penggunaan kekuatan militer sesuai tujuan nasional.,uu_34_tahun_2004_81-90.json
TNI berperan sebagai alat negara di bidang pertahanan yang dalam menjalankan tugasnya berdasarkan kebijakan dan keputusan politik negara.,Bagaimana peran TNI sebagai alat negara berbeda dengan lembaga pertahanan lainnya?,"TNI memiliki mandat konstitusional menjalankan pertahanan militer, sedangkan lembaga lain mendukung melalui kebijakan, logistik, atau pengawasan.",uu_34_tahun_2004_81-90.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan. (2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan. (3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.",Apa isi pokok Pasal 20 ayat (1)?,"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan.",uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan. (2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan. (3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.",Apa isi pokok Pasal 20 ayat (2)?,"(2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan.",uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan. (2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan. (3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.",Apa isi pokok Pasal 20 ayat (3)?,(3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.,uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan.",Dalam konteks apa kekuatan TNI digunakan menurut ayat (1)?,Dalam rangka melaksanakan operasi militer untuk perang bagi kepentingan pertahanan negara.,uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan.",Apa yang dimaksud 'operasi militer untuk perang' menurut ayat (1)?,Kegiatan bersenjata untuk menghadapi ancaman militer sesuai UU.,uu_34_tahun_2004_871 - 920.json
"(2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan.",Untuk kepentingan apa OMSP digunakan menurut ayat (2)?,Untuk kepentingan pertahanan negara dan/atau mendukung kepentingan nasional.,uu_34_tahun_2004_871 - 920.json
"(2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan.",Apa maksud 'operasi militer selain perang' dalam ayat (2)?,Kegiatan militer non-perang seperti penanganan ancaman internal.,uu_34_tahun_2004_871 - 920.json
(3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.,Dalam rangka apa kekuatan TNI digunakan menurut ayat (3)?,Dalam rangka tugas perdamaian dunia.,uu_34_tahun_2004_871 - 920.json
(3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.,Apa arti frasa 'sesuai dengan peraturan perundang-undangan'?,Dilaksanakan berdasarkan ketentuan hukum yang berlaku di Indonesia.,uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan. (2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan. (3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.",Berapa ayat yang terdapat dalam Pasal 20?,Tiga ayat.,uu_34_tahun_2004_871 - 920.json
"(1) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer untuk perang, dilakukan untuk kepentingan penyelenggaraan pertahanan negara sesuai dengan peraturan perundang-undangan. (2) Penggunaan kekuatan TNI dalam rangka melaksanakan operasi militer selain perang, dilakukan untuk kepentingan pertahanan negara dan/atau dalam rangka mendukung kepentingan nasional sesuai dengan peraturan perundang-undangan. (3) Penggunaan kekuatan TNI dalam rangka tugas perdamaian dunia dilakukan sesuai dengan kebijakan politik luar negeri Indonesia dan ketentuan hukum nasional.",Apa yang dimaksud 'kepentingan penyelenggaraan pertahanan negara'?,Memberikan dukungan optimal untuk mempertahankan kedaulatan dan keamanan nasional.,uu_34_tahun_2004_871 - 920.json
