Context,Question,Answer,filename
TNI dipimpin oleh seorang Panglima.,Apa isi utama Pasal 13 ayat (1)?,TNI dipimpin oleh seorang Panglima.,uu_34_tahun_2004_471-571.json
Panglima sebagaimana dimaksud pada ayat (1) diangkat dan diberhentikan oleh Presiden setelah mendapat persetujuan Dewan Perwakilan Rakyat.,Apa isi utama Pasal 13 ayat (2)?,Panglima sebagaimana dimaksud pada ayat (1) diangkat dan diberhentikan oleh Presiden setelah mendapat persetujuan Dewan Perwakilan Rakyat.,uu_34_tahun_2004_471-571.json
Pengangkatan dan pemberhentian Panglima dilakukan berdasarkan kepentingan organisasi TNI.,Apa isi utama Pasal 13 ayat (3)?,Pengangkatan dan pemberhentian Panglima dilakukan berdasarkan kepentingan organisasi TNI.,uu_34_tahun_2004_471-571.json
Jabatan Panglima sebagaimana dimaksud pada ayat (3) dapat dijabat secara bergantian oleh Perwira Tinggi aktif dari tiap-tiap Angkatan yang sedang atau pernah menjabat sebagai Kepala Staf Angkatan.,Apa isi utama Pasal 13 ayat (4)?,Jabatan Panglima sebagaimana dimaksud pada ayat (3) dapat dijabat secara bergantian oleh Perwira Tinggi aktif dari tiap-tiap Angkatan yang sedang atau pernah menjabat sebagai Kepala Staf Angkatan.,uu_34_tahun_2004_471-571.json
"Untuk mengangkat Panglima sebagaimana dimaksud pada ayat (3), Presiden mengusulkan satu orang calon Panglima untuk mendapat persetujuan Dewan Perwakilan Rakyat.",Apa isi utama Pasal 13 ayat (5)?,"Untuk mengangkat Panglima sebagaimana dimaksud pada ayat (3), Presiden mengusulkan satu orang calon Panglima untuk mendapat persetujuan Dewan Perwakilan Rakyat.",uu_34_tahun_2004_471-571.json
"Persetujuan Dewan Perwakilan Rakyat terhadap calon Panglima yang dipilih oleh Presiden, disampaikan paling lambat 20 hari tidak termasuk masa reses, terhitung sejak permohonan persetujuan calon Panglima diterima oleh Dewan Perwakilan Rakyat.",Apa isi utama Pasal 13 ayat (6)?,"Persetujuan Dewan Perwakilan Rakyat terhadap calon Panglima yang dipilih oleh Presiden, disampaikan paling lambat 20 hari tidak termasuk masa reses, terhitung sejak permohonan persetujuan calon Panglima diterima oleh Dewan Perwakilan Rakyat.",uu_34_tahun_2004_471-571.json
"Dalam hal Dewan Perwakilan Rakyat tidak menyetujui calon Panglima yang diusulkan oleh Presiden sebagaimana dimaksud pada ayat (5) dan ayat (6), Presiden mengusulkan satu orang calon lain sebagai pengganti.",Apa isi utama Pasal 13 ayat (7)?,"Dalam hal Dewan Perwakilan Rakyat tidak menyetujui calon Panglima yang diusulkan oleh Presiden sebagaimana dimaksud pada ayat (5) dan ayat (6), Presiden mengusulkan satu orang calon lain sebagai pengganti.",uu_34_tahun_2004_471-571.json
"Apabila Dewan Perwakilan Rakyat tidak menyetujui calon Panglima yang diusulkan oleh Presiden, Dewan Perwakilan Rakyat memberikan alasan tertulis yang menjelaskan ketidaksetujuannya.",Apa isi utama Pasal 13 ayat (8)?,"Apabila Dewan Perwakilan Rakyat tidak menyetujui calon Panglima yang diusulkan oleh Presiden, Dewan Perwakilan Rakyat memberikan alasan tertulis yang menjelaskan ketidaksetujuannya.",uu_34_tahun_2004_471-571.json
"Dalam hal Dewan Perwakilan Rakyat tidak memberikan jawaban sebagaimana dimaksud pada ayat (7), dianggap telah menyetujui, selanjutnya Presiden berwenang mengangkat Panglima baru dan memberhentikan Panglima lama.",Apa isi utama Pasal 13 ayat (9)?,"Dalam hal Dewan Perwakilan Rakyat tidak memberikan jawaban sebagaimana dimaksud pada ayat (7), dianggap telah menyetujui, selanjutnya Presiden berwenang mengangkat Panglima baru dan memberhentikan Panglima lama.",uu_34_tahun_2004_471-571.json
"Tata cara pengangkatan dan pemberhentian Panglima sebagaimana dimaksud pada ayat (2-9), diatur lebih lanjut dengan keputusan Presiden.",Apa isi utama Pasal 13 ayat (10)?,"Tata cara pengangkatan dan pemberhentian Panglima sebagaimana dimaksud pada ayat (2-9), diatur lebih lanjut dengan keputusan Presiden.",uu_34_tahun_2004_471-571.json
