Context,Question,Answer,filename
Pasal 27 ayat 1 mengatur tentang pemberian pangkat kepada setiap prajurit sebagai bentuk keabsahan terhadap wewenang dan tanggung jawab dalam struktur hierarki keprajuritan. Pangkat ini menjadi legitimasi bagi prajurit dalam melaksanakan tugas dan kewajibannya di lingkungan militer.,Apa isi Pasal 27 ayat 1 UU TNI?,Setiap prajurit diberi pangkat sebagai keabsahan wewenang dan tanggung jawab dalam hierarki TNI.,uu_34_tahun_2004_27
"Pasal 27 ayat 2 mengatur jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa isi Pasal 27 ayat 2 UU TNI?,"Pangkat dalam TNI terdiri dari: efektif, lokal, dan tituler.",uu_34_tahun_2004_27
"Pasal 27 ayat 3 mengatur bahwa susunan, sebutan, dan keselarasan pangkat sebagaimana dimaksud pada ayat (2) akan ditetapkan lebih lanjut oleh Panglima melalui keputusan resmi, sebagai bentuk pengaturan teknis atas sistem kepangkatan dalam TNI.",Apa isi Pasal 27 ayat 3 UU TNI?,Pangkat TNI diatur lebih lanjut oleh keputusan Panglima.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa itu pangkat efektif dalam UU TNI?,Pangkat efektif adalah pangkat penuh dengan akibat administrasi bagi prajurit aktif.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa perbedaan pangkat lokal dan pangkat efektif?,"Pangkat lokal bersifat sementara dan tidak membawa hak administratif, berbeda dengan pangkat efektif.",uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa yang dimaksud dengan pangkat tituler?,Pangkat tituler adalah pangkat sementara bagi warga sipil di TNI dengan hak terbatas.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Bagaimana cara pemberian pangkat dalam TNI?,Pangkat diberikan melalui pengangkatan awal dan kenaikan pangkat.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa itu kenaikan pangkat reguler?,Kenaikan pangkat reguler adalah kenaikan terjadwal berdasarkan syarat jabatan dan masa dinas.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa itu kenaikan pangkat luar biasa?,Kenaikan luar biasa diberikan atas jasa luar biasa dan bisa anumerta.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa itu kenaikan pangkat penghargaan?,Kenaikan pangkat penghargaan diberikan sebagai apresiasi atas pengabdian prajurit.,uu_34_tahun_2004_27
"Pasal 27 ayat 3 mengatur bahwa susunan, sebutan, dan keselarasan pangkat sebagaimana dimaksud pada ayat (2) akan ditetapkan lebih lanjut oleh Panglima melalui keputusan resmi, sebagai bentuk pengaturan teknis atas sistem kepangkatan dalam TNI.",Siapa yang berwenang menetapkan susunan pangkat?,Panglima TNI menetapkan susunan dan sebutan pangkat.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apakah warga sipil bisa memiliki pangkat TNI?,Warga sipil dapat diberi pangkat tituler saat menjalankan tugas di TNI.,uu_34_tahun_2004_27
"Pasal 27 ayat 3 mengatur bahwa susunan, sebutan, dan keselarasan pangkat sebagaimana dimaksud pada ayat (2) akan ditetapkan lebih lanjut oleh Panglima melalui keputusan resmi, sebagai bentuk pengaturan teknis atas sistem kepangkatan dalam TNI.",Bagaimana peran Panglima TNI dalam menentukan pangkat?,Panglima TNI menetapkan struktur pangkat TNI secara administratif.,uu_34_tahun_2004_27
Pasal 27 ayat 1 mengatur tentang pemberian pangkat kepada setiap prajurit sebagai bentuk keabsahan terhadap wewenang dan tanggung jawab dalam struktur hierarki keprajuritan. Pangkat ini menjadi legitimasi bagi prajurit dalam melaksanakan tugas dan kewajibannya di lingkungan militer.,Bagaimana keterkaitan pangkat dengan tugas keprajuritan?,Pangkat menentukan otoritas dan tanggung jawab prajurit.,uu_34_tahun_2004_27
Pasal 27 ayat 1 mengatur tentang pemberian pangkat kepada setiap prajurit sebagai bentuk keabsahan terhadap wewenang dan tanggung jawab dalam struktur hierarki keprajuritan. Pangkat ini menjadi legitimasi bagi prajurit dalam melaksanakan tugas dan kewajibannya di lingkungan militer.,Mengapa penting bagi seorang prajurit memiliki pangkat dalam struktur militer?,Pangkat memastikan kejelasan peran dan wewenang prajurit dalam struktur militer.,uu_34_tahun_2004_27
"Jenis-jenis pangkat berdasarkan sifatnya, yaitu: (a) pangkat efektif yang berlaku selama dinas aktif dan membawa dampak administratif penuh; (b) pangkat lokal yang diberikan sementara untuk jabatan tertentu yang memerlukan pangkat lebih tinggi, tanpa dampak administratif; dan (c) pangkat tituler yang diberikan kepada warga sipil yang menjalankan jabatan keprajuritan tertentu, dengan dampak administratif terbatas selama masa jabatannya.",Apa yang membedakan antara pemberian pangkat kepada prajurit aktif dan nonaktif?,"Prajurit aktif mendapat pangkat efektif, sedangkan nonaktif bisa diberi pangkat lokal atau tituler.",uu_34_tahun_2004_27
