Question,Complex_cot,Output
Apa pengertian dari Tentara Nasional Indonesia menurut undang-undang?,"Berdasarkan UU No. 34 Tahun 2004, Tentara Nasional Indonesia (TNI) adalah alat negara di bidang pertahanan yang terdiri dari Angkatan Darat, Angkatan Laut, dan Angkatan Udara. TNI berperan menegakkan kedaulatan negara, mempertahankan keutuhan wilayah NKRI, dan melindungi keselamatan bangsa dari ancaman dan gangguan. TNI juga bertugas melaksanakan kebijakan pertahanan negara.","TNI adalah alat negara di bidang pertahanan yang terdiri atas Angkatan Darat, Angkatan Laut, dan Angkatan Udara, dengan tugas utama mempertahankan kedaulatan dan keutuhan wilayah NKRI."
Siapa yang dimaksud dengan prajurit dalam UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, prajurit adalah warga negara Indonesia yang memenuhi persyaratan tertentu dan diangkat oleh pejabat berwenang untuk mengabdikan diri dalam dinas keprajuritan. Prajurit terdiri atas prajurit sukarela dan prajurit wajib.",Prajurit adalah warga negara Indonesia yang diangkat untuk mengabdikan diri dalam dinas keprajuritan TNI.
Apa itu pertahanan negara menurut UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, pertahanan negara adalah segala usaha untuk menegakkan kedaulatan negara, mempertahankan keutuhan wilayah NKRI, dan melindungi keselamatan segenap bangsa dari ancaman dan gangguan, dengan memperhatikan kondisi geografis Indonesia sebagai negara kepulauan.","Pertahanan negara adalah usaha untuk menegakkan kedaulatan, mempertahankan keutuhan NKRI, dan melindungi keselamatan bangsa dari ancaman."
Bagaimana definisi sistem pertahanan negara menurut UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, sistem pertahanan negara bersifat semesta, melibatkan seluruh warga negara, wilayah, dan sumber daya nasional lainnya. Sistem ini dipersiapkan secara dini dan diselenggarakan secara total, terpadu, terarah, berkesinambungan, dan berkelanjutan oleh pemerintah.","Sistem pertahanan negara adalah sistem semesta yang melibatkan seluruh warga, wilayah, dan sumber daya nasional secara terpadu dan terencana."
Apa arti dari “berada di bawah Presiden” dalam konteks TNI?,"Berdasarkan perubahan UU No. 34 Tahun 2004 pada tahun 2025, dalam Pasal 3 ayat (1), TNI berkedudukan di bawah Presiden dalam pengerahan dan penggunaan kekuatan militer. Artinya, kekuasaan tertinggi atas TNI dalam hal operasional berada pada Presiden RI.",“Berkedudukan di bawah Presiden” berarti TNI berada di bawah kekuasaan Presiden dalam hal pengerahan dan penggunaan kekuatan militer.
Apa yang dimaksud dengan koordinasi Kementerian Pertahanan dalam perencanaan strategis TNI?,"Berdasarkan perubahan UU No. 34 Tahun 2004 pada tahun 2025, Pasal 3 ayat (2) menyebut bahwa kebijakan dan strategi pertahanan serta dukungan administrasi TNI berada dalam koordinasi Kementerian Pertahanan. Ini mencakup pengelolaan pertahanan negara, penganggaran, pengadaan, pemeliharaan, dan perekrutan.",Koordinasi Kemenhan berarti semua perencanaan strategis TNI berada di bawah pengawasan Kementerian Pertahanan.
Siapa yang dimaksud dengan Menteri Pertahanan dalam UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, Menteri Pertahanan adalah menteri yang bertanggung jawab di bidang pertahanan negara dan menjadi pelaksana kebijakan pertahanan yang telah ditetapkan oleh Presiden dan DPR.",Menteri Pertahanan adalah pejabat negara yang bertanggung jawab atas urusan pertahanan nasional.
Apa pengertian dari Departemen Pertahanan dalam konteks UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, Departemen Pertahanan adalah pelaksana fungsi pemerintahan di bidang pertahanan negara, yang kini disebut Kementerian Pertahanan. Institusi ini mengoordinasikan kebijakan dan dukungan administratif untuk TNI.",Departemen/Kementerian Pertahanan adalah pelaksana fungsi pemerintah di bidang pertahanan negara.
Apa yang dimaksud dengan Angkatan dalam TNI?,"Berdasarkan UU No. 34 Tahun 2004, Angkatan adalah komponen utama TNI yang terdiri atas Angkatan Darat, Angkatan Laut, dan Angkatan Udara. Setiap angkatan memiliki kedudukan yang sama dan sederajat.","Angkatan adalah bagian dari TNI yang terdiri atas Angkatan Darat, Laut, dan Udara."
Siapa itu Kepala Staf Angkatan?,"Berdasarkan UU No. 34 Tahun 2004, Kepala Staf Angkatan adalah pimpinan masing-masing angkatan dalam TNI (Darat, Laut, Udara), yang bertanggung jawab kepada Panglima TNI dan diangkat oleh Presiden atas usul Panglima.",Kepala Staf Angkatan adalah pimpinan dari masing-masing angkatan TNI yang bertanggung jawab kepada Panglima.
Apa definisi Warga Negara dalam konteks UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, Warga Negara adalah warga negara Republik Indonesia yang memiliki hak dan kewajiban dalam sistem pertahanan negara, termasuk untuk menjadi prajurit TNI.",Warga Negara adalah warga negara Indonesia yang dapat ikut serta dalam pertahanan negara.
Apa arti Wilayah menurut UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, wilayah adalah seluruh wilayah NKRI berdasarkan peraturan perundang-undangan. Ini meliputi wilayah darat, laut, dan udara.",Wilayah adalah seluruh area NKRI sesuai peraturan perundangan.
Apa arti Militer dalam UU No. 34 Tahun 2004?,"Berdasarkan UU No. 34 Tahun 2004, militer adalah kekuatan angkatan perang dari suatu negara yang diatur berdasarkan peraturan perundang-undangan nasional.",Militer adalah kekuatan angkatan perang negara yang diatur oleh hukum nasional.
Apa definisi Ancaman menurut UU TNI?,"Berdasarkan UU No. 34 Tahun 2004, ancaman adalah setiap upaya atau kegiatan dari dalam atau luar negeri yang mengancam atau membahayakan kedaulatan, keutuhan, dan keselamatan bangsa.",Ancaman adalah kegiatan yang membahayakan kedaulatan dan keselamatan bangsa dari dalam atau luar negeri.
Apa bedanya antara ancaman militer dan ancaman bersenjata?,"Berdasarkan UU No. 34 Tahun 2004, ancaman militer adalah yang dilakukan oleh militer negara lain, sedangkan ancaman bersenjata berasal dari kekuatan bersenjata non-negara seperti separatis, teroris, atau pemberontak.","Ancaman militer berasal dari militer asing, sedangkan ancaman bersenjata dari kelompok bersenjata dalam negeri."
Apa yang dimaksud Gerakan Bersenjata?,"Berdasarkan UU No. 34 Tahun 2004, gerakan bersenjata adalah aksi kelompok warga negara yang melakukan perlawanan terhadap pemerintah yang sah dengan menggunakan senjata.",Gerakan bersenjata adalah aksi kelompok bersenjata melawan pemerintah yang sah.
Apa itu Prajurit Sukarela?,"Berdasarkan UU No. 34 Tahun 2004, prajurit sukarela adalah warga negara yang secara sukarela mendaftar dan menjalani dinas keprajuritan.",Prajurit Sukarela adalah warga yang mengabdi secara sukarela sebagai anggota TNI.
Apa itu Prajurit Wajib?,"Berdasarkan UU No. 34 Tahun 2004, prajurit wajib adalah warga negara yang diwajibkan mengabdi dalam dinas keprajuritan berdasarkan undang-undang.",Prajurit Wajib adalah warga yang menjalani dinas TNI karena diwajibkan oleh UU.
Apa peran TNI dalam sistem pertahanan semesta?,"Berdasarkan UU No. 34 Tahun 2004, sistem pertahanan semesta menjadikan TNI sebagai kekuatan utama, dengan warga negara sebagai kekuatan pendukung.","Dalam sistem pertahanan semesta, TNI adalah kekuatan utama, rakyat adalah kekuatan pendukung."
Apa perubahan penting dalam definisi koordinasi TNI dalam RUU tahun 2025?,"Berdasarkan perubahan UU No. 34 Tahun 2004 pada tahun 2025, koordinasi Kementerian Pertahanan diperluas untuk mencakup tidak hanya kebijakan, tetapi juga pengelolaan sumber daya, penganggaran, dan perencanaan strategis pertahanan.","RUU 2025 memperluas peran Kemenhan dalam koordinasi strategis, anggaran, dan pengelolaan TNI."
